team_abbr,offensive_coordinator,defensive_coordinator,last_updated
ARI,Drew Petzing,Nick Rallis,2025-10-12
ATL,Zac Robinson,Jeff Ulbrich,2025-10-12
BAL,Todd Monken,Zach Orr,2025-10-12
BUF,Joe Brady,Bobby Babich,2025-10-12
CAR,Brad Idzik,Ejiro Evero,2025-10-12
CHI,Declan Doyle,Dennis Allen,2025-10-12
CIN,Dan Pitcher,Al Golden,2025-10-12
CLE,Tommy Rees,Jim Schwartz,2025-10-12
DAL,Klayton Adams,Matt Eberflus,2025-10-12
DEN,Joe Lombardi,Vance Joseph,2025-10-12
DET,John Morton,Kelvin Sheppard,2025-10-12
GB,Adam Stenavich,Jeff Hafley,2025-10-12
HOU,Nick Caley,Matt Burke,2025-10-12
IND,Jim Bob Cooter,Lou Anarumo,2025-10-12
JAX,Grant Udinski,Anthony Campanile,2025-10-12
KC,Matt Nagy,Steve Spagnuolo,2025-10-12
LAC,Greg Roman,Jesse Minter,2025-10-12
LAR,Mike LaFleur,Chris Shula,2025-10-12
LV,Chip Kelly,Patrick Graham,2025-10-12
MIA,Frank Smith,Anthony Weaver,2025-10-12
MIN,Wes Phillips,Brian Flores,2025-10-12
NE,Josh McDaniels,Terrell Williams,2025-10-12
NO,Doug Nussmeier,Brandon Staley,2025-10-12
NYG,Mike Kafka,Shane Bowen,2025-10-12
NYJ,Tanner Engstrand,Steve Wilks,2025-10-12
PHI,Kevin Patullo,Vic Fangio,2025-10-12
PIT,Arthur Smith,Teryl Austin,2025-10-12
SEA,Klint Kubiak,Aden Durde,2025-10-12
SF,Klay Kubiak,Robert Saleh,2025-10-12
TB,Josh Grizzard,Todd Bowles[a],2025-10-12
TEN,Nick Holz,Dennard Wilson,2025-10-12
WAS,Kliff Kingsbury,Joe Whitt Jr.,2025-10-12
