team_abbr,rating,previous_rank,previous_rating
PHI,25.59,1,26.83
DET,25.52,2,26.46
KC,25.31,3,24.75
GB,24.29,6,24.45
WAS,24.19,5,24.56
BUF,23.87,4,24.58
DEN,23.08,7,23.6
TB,22.31,10,22.0
LAR,22.14,11,21.8
BAL,21.99,8,22.73
HOU,21.93,9,22.25
MIN,21.52,12,21.42
SEA,21.18,15,20.87
LAC,20.95,16,20.79
PIT,20.78,17,20.45
SF,20.71,13,21.03
IND,20.57,14,20.9
CHI,20.12,20,19.61
NE,19.64,19,19.63
ATL,19.56,21,19.0
JAX,19.54,18,20.44
CIN,19.1,22,18.82
ARI,18.63,23,18.45
LV,17.25,25,16.64
DAL,17.11,24,17.29
CAR,16.8,26,16.42
NYG,16.55,27,15.14
CLE,14.7,28,14.88
MIA,14.62,29,14.49
NYJ,14.18,31,13.64
TEN,13.93,30,13.72
NO,12.36,32,12.34
