week_num,game_date,weekday,gametime,away_team,home_team,away_score,home_score,away_coach,home_coach,stadium,espn_id
1,2025-09-04,Thursday,20:20,DAL,PHI,20,24,Brian Schottenheimer,Nick Sirianni,Lincoln Financial Field,401772510
1,2025-09-05,Friday,20:00,KC,LAC,21,27,Andy Reid,Jim Harbaugh,Arena Corinthians,401772714
1,2025-09-07,Sunday,13:00,ARI,NO,20,13,Jonathan Gannon,Kellen Moore,Caesars Superdome,401772718
1,2025-09-07,Sunday,13:00,CAR,JAX,10,26,Dave Canales,Liam Coen,EverBank Stadium,401772828
1,2025-09-07,Sunday,13:00,CIN,CLE,17,16,Zac Taylor,Kevin Stefanski,Huntington Bank Field,401772829
1,2025-09-07,Sunday,13:00,LV,NE,20,13,Pete Carroll,Mike Vrabel,Gillette Stadium,401772720
1,2025-09-07,Sunday,13:00,MIA,IND,8,33,Mike McDaniel,Shane Steichen,Lucas Oil Stadium,401772719
1,2025-09-07,Sunday,13:00,NYG,WAS,6,21,Brian Daboll,Dan Quinn,Northwest Stadium,401772827
1,2025-09-07,Sunday,13:00,PIT,NYJ,34,32,Mike Tomlin,Aaron Glenn,MetLife Stadium,401772721
1,2025-09-07,Sunday,13:00,TB,ATL,23,20,Todd Bowles,Raheem Morris,Mercedes-Benz Stadium,401772830
1,2025-09-07,Sunday,16:05,SF,SEA,17,13,Kyle Shanahan,Mike Macdonald,Lumen Field,401772831
1,2025-09-07,Sunday,16:05,TEN,DEN,12,20,Brian Callahan,Sean Payton,Empower Field at Mile High,401772832
1,2025-09-07,Sunday,16:25,DET,GB,13,27,Dan Campbell,Matt LaFleur,Lambeau Field,401772722
1,2025-09-07,Sunday,16:25,HOU,LAR,9,14,DeMeco Ryans,Sean McVay,SoFi Stadium,401772723
1,2025-09-07,Sunday,20:20,BAL,BUF,40,41,John Harbaugh,Sean McDermott,Highmark Stadium,401772918
1,2025-09-08,Monday,20:15,MIN,CHI,27,24,Kevin O'Connell,Ben Johnson,Soldier Field,401772810
2,2025-09-11,Thursday,20:15,WAS,GB,18,27,Dan Quinn,Matt LaFleur,Lambeau Field,401772936
2,2025-09-14,Sunday,13:00,BUF,NYJ,30,10,Sean McDermott,Aaron Glenn,MetLife Stadium,401772727
2,2025-09-14,Sunday,13:00,CHI,DET,21,52,Ben Johnson,Dan Campbell,Ford Field,401772835
2,2025-09-14,Sunday,13:00,CLE,BAL,17,41,Kevin Stefanski,John Harbaugh,M&T Bank Stadium,401772726
2,2025-09-14,Sunday,13:00,JAX,CIN,27,31,Liam Coen,Zac Taylor,Paycor Stadium,401772725
2,2025-09-14,Sunday,13:00,LAR,TEN,33,19,Sean McVay,Brian Callahan,Nissan Stadium,401772724
2,2025-09-14,Sunday,13:00,NE,MIA,33,27,Mike Vrabel,Mike McDaniel,Hard Rock Stadium,401772728
2,2025-09-14,Sunday,13:00,NYG,DAL,37,40,Brian Daboll,Brian Schottenheimer,AT&T Stadium,401772834
2,2025-09-14,Sunday,13:00,SEA,PIT,31,17,Mike Macdonald,Mike Tomlin,Acrisure Stadium,401772836
2,2025-09-14,Sunday,13:00,SF,NO,26,21,Kyle Shanahan,Kellen Moore,Caesars Superdome,401772833
2,2025-09-14,Sunday,16:05,CAR,ARI,22,27,Dave Canales,Jonathan Gannon,State Farm Stadium,401772730
2,2025-09-14,Sunday,16:05,DEN,IND,28,29,Sean Payton,Shane Steichen,Lucas Oil Stadium,401772729
2,2025-09-14,Sunday,16:25,PHI,KC,20,17,Nick Sirianni,Andy Reid,GEHA Field at Arrowhead Stadium,401772837
2,2025-09-14,Sunday,20:20,ATL,MIN,22,6,Raheem Morris,Kevin O'Connell,U.S. Bank Stadium,401772919
2,2025-09-15,Monday,19:00,TB,HOU,20,19,Todd Bowles,DeMeco Ryans,NRG Stadium,401772715
2,2025-09-15,Monday,22:00,LAC,LV,20,9,Jim Harbaugh,Pete Carroll,Allegiant Stadium,401772811
3,2025-09-18,Thursday,20:15,MIA,BUF,21,31,Mike McDaniel,Sean McDermott,Highmark Stadium,401772937
3,2025-09-21,Sunday,13:00,ATL,CAR,0,30,Raheem Morris,Dave Canales,Bank of America Stadium,401772838
3,2025-09-21,Sunday,13:00,CIN,MIN,10,48,Zac Taylor,Kevin O'Connell,U.S. Bank Stadium,401772731
3,2025-09-21,Sunday,13:00,GB,CLE,10,13,Matt LaFleur,Kevin Stefanski,Huntington Bank Field,401772842
3,2025-09-21,Sunday,13:00,HOU,JAX,10,17,DeMeco Ryans,Liam Coen,EverBank Stadium,401772734
3,2025-09-21,Sunday,13:00,IND,TEN,41,20,Shane Steichen,Brian Callahan,Nissan Stadium,401772733
3,2025-09-21,Sunday,13:00,LAR,PHI,26,33,Sean McVay,Nick Sirianni,Lincoln Financial Field,401772839
3,2025-09-21,Sunday,13:00,LV,WAS,24,41,Pete Carroll,Dan Quinn,Northwest Stadium,401772841
3,2025-09-21,Sunday,13:00,NYJ,TB,27,29,Aaron Glenn,Todd Bowles,Raymond James Stadium,401772840
3,2025-09-21,Sunday,13:00,PIT,NE,21,14,Mike Tomlin,Mike Vrabel,Gillette Stadium,401772732
3,2025-09-21,Sunday,16:05,DEN,LAC,20,23,Sean Payton,Jim Harbaugh,SoFi Stadium,401772735
3,2025-09-21,Sunday,16:05,NO,SEA,13,44,Kellen Moore,Mike Macdonald,Lumen Field,401772736
3,2025-09-21,Sunday,16:25,ARI,SF,15,16,Jonathan Gannon,Kyle Shanahan,Levi's Stadium,401772843
3,2025-09-21,Sunday,16:25,DAL,CHI,14,31,Brian Schottenheimer,Ben Johnson,Soldier Field,401772844
3,2025-09-21,Sunday,20:20,KC,NYG,22,9,Andy Reid,Brian Daboll,MetLife Stadium,401772920
3,2025-09-22,Monday,20:15,DET,BAL,38,30,Dan Campbell,John Harbaugh,M&T Bank Stadium,401772812
4,2025-09-25,Thursday,20:15,SEA,ARI,23,20,Mike Macdonald,Jonathan Gannon,State Farm Stadium,401772938
4,2025-09-28,Sunday,09:30,MIN,PIT,21,24,Kevin O'Connell,Mike Tomlin,Croke Park,401772632
