week_num,game_date,weekday,gametime,away_team,home_team,away_score,home_score,away_coach,home_coach,stadium,espn_id
1,2024-09-05,Thursday,20:40,BAL,KC,,,John Harbaugh,Andy Reid,GEHA Field at Arrowhead Stadium,401671789
1,2024-09-06,Friday,20:15,GB,PHI,,,Matt LaFleur,Nick Sirianni,Arena Corinthians,401671805
1,2024-09-08,Sunday,13:00,JAX,MIA,,,Doug Pederson,Mike McDaniel,Hard Rock Stadium,401671849
1,2024-09-08,Sunday,13:00,PIT,ATL,,,Mike Tomlin,Raheem Morris,Mercedes-Benz Stadium,401671744
1,2024-09-08,Sunday,13:00,TEN,CHI,,,Brian Callahan,Matt Eberflus,Soldier Field,401671719
1,2024-09-08,Sunday,13:00,NE,CIN,,,Jerod Mayo,Zac Taylor,Paycor Stadium,401671628
1,2024-09-08,Sunday,13:00,MIN,NYG,,,Kevin O'Connell,Brian Daboll,MetLife Stadium,401671712
1,2024-09-08,Sunday,13:00,CAR,NO,,,Dave Canales,Dennis Allen,Mercedes-Benz Superdome,401671734
1,2024-09-08,Sunday,13:00,ARI,BUF,,,Jonathan Gannon,Sean McDermott,New Era Field,401671617
1,2024-09-08,Sunday,13:00,HOU,IND,,,DeMeco Ryans,Shane Steichen,Lucas Oil Stadium,401671861
1,2024-09-08,Sunday,16:05,LV,LAC,,,Antonio Pierce,Jim Harbaugh,SoFi Stadium,401671659
1,2024-09-08,Sunday,16:05,DEN,SEA,,,Sean Payton,Mike Macdonald,Lumen Field,401671664
1,2024-09-08,Sunday,16:25,WAS,TB,,,Dan Quinn,Todd Bowles,Raymond James Stadium,401671770
1,2024-09-08,Sunday,16:25,DAL,CLE,,,Mike McCarthy,Kevin Stefanski,FirstEnergy Stadium,401671761
1,2024-09-08,Sunday,20:20,LAR,DET,,,Sean McVay,Dan Campbell,Ford Field,401671792
1,2024-09-09,Monday,20:15,NYJ,SF,,,Robert Saleh,Kyle Shanahan,Levi's Stadium,401671696
2,2024-09-12,Thursday,20:15,BUF,MIA,,,Sean McDermott,Mike McDaniel,Hard Rock Stadium,401671807
2,2024-09-15,Sunday,13:00,CLE,JAX,,,Kevin Stefanski,Doug Pederson,TIAA Bank Stadium,401671635
2,2024-09-15,Sunday,13:00,LV,BAL,,,Antonio Pierce,John Harbaugh,M&T Bank Stadium,401671624
2,2024-09-15,Sunday,13:00,NYG,WAS,,,Brian Daboll,Dan Quinn,FedExField,401671716
2,2024-09-15,Sunday,13:00,NO,DAL,,,Dennis Allen,Mike McCarthy,AT&T Stadium,401671709
2,2024-09-15,Sunday,13:00,IND,GB,,,Shane Steichen,Matt LaFleur,Lambeau Field,401671723
2,2024-09-15,Sunday,13:00,TB,DET,,,Todd Bowles,Dan Campbell,Ford Field,401671721
2,2024-09-15,Sunday,13:00,SEA,NE,,,Mike Macdonald,Jerod Mayo,Gillette Stadium,401671702
2,2024-09-15,Sunday,13:00,SF,MIN,,,Kyle Shanahan,Kevin O'Connell,U.S. Bank Stadium,401671645
2,2024-09-15,Sunday,13:00,LAC,CAR,,,Jim Harbaugh,Dave Canales,Bank of America Stadium,401671652
2,2024-09-15,Sunday,13:00,NYJ,TEN,,,Robert Saleh,Brian Callahan,Nissan Stadium,401671636
