team_abbr,position,player_name,number,formation,status,height,weight,college,experience,age,birth_date,entry_year,draft_pick,completions_season,attempts_season,passing_yards_season,passing_tds_season,interceptions_season,carries_season,rushing_yards_season,rushing_tds_season,receptions_season,targets_season,receiving_yards_season,receiving_tds_season,games_played,espn_player_id
ARI,LDE,Josh Sweat,10,Base 4-3 D,ACT,77.0,253,Florida State,7,28.0,1997-03-29,2018,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3693166
JAX,LDE,Josh Hines-Allen,41,Base 4-3 D,ACT,77.0,262,Kentucky,6,28.0,1997-07-13,2019,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3915239
JAX,LDT,DaVon Hamilton,52,Base 4-3 D,ACT,76.0,310,Ohio State,5,28.0,1997-02-01,2020,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3915520
JAX,RDT,Arik Armstead,91,Base 4-3 D,ACT,79.0,292,Oregon,10,32.0,1993-11-15,2015,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2971275
JAX,RDE,Travon Walker,44,Base 4-3 D,ACT,77.0,275,Georgia,3,25.0,2000-12-18,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4426349
JAX,WLB,Foyesade Oluokun,23,Base 4-3 D,ACT,74.0,215,Yale,7,30.0,1995-08-02,2018,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3050073
JAX,MLB,Devin Lloyd,0,Base 4-3 D,ACT,75.0,235,Utah,3,27.0,1998-09-30,2022,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4243256
JAX,SLB,Yasir Abdullah,56,Base 4-3 D,ACT,73.0,242,Louisville,2,25.0,2000-04-12,2023,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4360807
JAX,LCB,Jarrian Jones,22,Base 4-3 D,ACT,71.0,191,Florida State; Mississippi State,1,24.0,2001-05-08,2024,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4426448
JAX,SS,Eric Murray,29,Base 4-3 D,ACT,71.0,199,Minnesota,9,31.0,1994-01-07,2016,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2970716
JAX,FS,Andrew Wingard,42,Base 4-3 D,ACT,72.0,209,Wyoming,6,29.0,1996-12-05,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3918331
JAX,RCB,Tyson Campbell,7,Base 4-3 D,ACT,73.0,185,Georgia,4,25.0,2000-03-17,2021,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,
IND,RB,Tyler Goodson,31,3WR 1TE,ACT,69.0,199,Iowa,3,25.0,2000-11-10,2022,0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,2,4429676
JAX,NB,Jourdan Lewis,2,Base 4-3 D,ACT,70.0,195,Michigan,8,30.0,1995-08-31,2017,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3045207
JAX,LT,Walker Little,72,3WR 1TE,ACT,79.0,325,Stanford,4,26.0,1999-04-01,2021,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4242554
JAX,LG,Ezra Cleveland,76,3WR 1TE,ACT,78.0,310,Boise State,5,27.0,1998-05-08,2020,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4048231
