team_abbr,passing_epa,passing_cpoe,rushing_epa,receiving_epa,def_sacks,def_sack_yards,fg_long,fg_pct,pat_pct,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,points_per_game,points_against_per_game,third_down_attempts,third_down_conversions,third_down_pct,fourth_down_attempts,fourth_down_conversions,fourth_down_pct,third_down_attempts_against,third_down_conversions_against,third_down_pct_against,fourth_down_attempts_against,fourth_down_conversions_against,fourth_down_pct_against,red_zone_trips,red_zone_tds,red_zone_pct,red_zone_trips_against,red_zone_tds_against,red_zone_pct_against,sacks_taken,interceptions,completion_pct,yards_per_attempt,yards_per_carry,passer_rating,total_yards,yards_per_game,total_first_downs,first_downs_per_game,total_epa,epa_per_game,total_turnovers,turnover_margin,espn_api_id,league_win_pct,div_win_pct,games_behind,ot_wins,ot_losses,road_record,conf_record,div_record,playoff_seed,clincher,streak_display
IND,52.443827363840164,21.710408652337602,19.600032840399145,54.840354926222965,16.0,97.0,226.0,4.666666666666666,6.0,6,5,1,0,0.8333,194,116,78,32.3333,19.3333,8,4,50.0,0,0,0.0,14,9,64.28571428571429,1,0,0.0,4,4,100.0,6,3,50.0,0,0,0,0,0,0,0,0.0,0,0.0,72.04386020423931,12.007310034039884,0,0,11,1.0,1.0,0.0,0,0,1-1,4-0,1-0,1,,W2
TB,46.00072506399374,10.418992929844322,-2.509643926955015,65.57122355444619,16.0,132.0,252.0,3.8333333333333335,5.666666666666666,6,5,1,0,0.8333,165,151,14,27.5,25.1667,8,3,37.5,0,0,0.0,16,7,43.75,2,0,0.0,2,2,100.0,2,1,50.0,0,0,0,0,0,0,0,0.0,0,0.0,43.49108113703873,7.2485135228397874,0,0,27,0.75,1.0,0.0,0,0,3-0,3-1,1-0,1,,W2
PIT,15.998186079968658,24.09390768591706,-7.261596218920253,32.35041009548302,20.0,127.0,191.0,3.25,4.0,5,4,1,0,0.8,119,107,12,23.8,21.4,12,5,41.66666666666667,0,0,0.0,17,6,35.294117647058826,4,2,50.0,1,1,100.0,3,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,8.736589861048405,1.747317972209681,0,0,23,1.0,1.0,0.5,0,0,2-0,3-0,1-0,2,,W3
GB,44.59247367958294,42.39834485795639,5.112236138685345,66.98534366508767,12.0,69.0,229.0,4.166666666666666,4.8,5,3,1,1,0.7,131,102,29,26.2,20.4,11,5,45.45454545454545,1,1,100.0,14,6,42.857142857142854,2,2,100.0,4,3,75.0,2,2,100.0,0,0,0,0,0,0,0,0.0,0,0.0,49.704709818268284,9.940941963653657,0,0,9,0.8333,1.0,1.0,0,0,0-1-1,2-0-1,1-0,2,,W1
DET,58.43160318765383,70.3455788031878,-6.648015843014499,82.254565070924,19.0,126.0,195.0,4.0,6.0,6,4,2,0,0.6667,191,142,49,31.8333,23.6667,11,5,45.45454545454545,2,0,0.0,9,4,44.44444444444444,3,2,66.66666666666666,2,1,50.0,6,4,66.66666666666666,0,0,0,0,0,0,0,0.0,0,0.0,51.78358734463933,8.630597890773222,0,0,8,0.5,0.5,1.0,0,0,2-2,1-1,1-1,6,,L1
SEA,55.956024529208136,64.12379066428292,-30.708514739749734,71.8846593553168,20.0,134.0,263.0,4.25,6.0,6,4,2,0,0.6667,166,117,49,27.6667,19.5,11,1,9.090909090909092,0,0,0.0,16,4,25.0,3,3,100.0,3,1,33.33333333333333,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,25.2475097894584,4.207918298243067,0,0,26,0.5,0.5,1.0,0,0,3-0,2-2,1-1,5,,W1
DEN,21.793074718917108,-6.55505613511583,-4.837062769307522,36.94432620285856,30.0,187.0,193.0,4.0,6.0,6,4,2,0,0.6667,130,95,35,21.6667,15.8333,15,6,40.0,1,1,100.0,15,2,13.333333333333334,2,1,50.0,2,1,50.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,16.956011949609586,2.8260019916015975,0,0,7,0.6,0.0,1.0,0,0,2-2,3-2,0-1,7,,W3
BUF,33.55073876711354,14.49740039223187,17.259416029035755,47.342593370179365,15.0,84.0,223.0,4.5,6.0,6,4,2,0,0.6667,167,137,30,27.8333,22.8333,9,2,22.22222222222222,1,0,0.0,12,5,41.66666666666667,1,0,0.0,3,2,66.66666666666666,3,1,33.33333333333333,0,0,0,0,0,0,0,0.0,0,0.0,50.8101547961493,8.46835913269155,0,0,2,0.75,0.6667,1.0,0,0,1-1,3-1,2-1,5,,L2
LAR,43.7166495052707,14.34976167427763,-25.557309406812063,67.36774089177656,19.0,139.0,198.0,3.6666666666666665,5.416666666666667,6,4,2,0,0.6667,140,110,30,23.3333,18.3333,10,4,40.0,2,1,50.0,17,7,41.17647058823529,6,2,33.33333333333333,5,2,40.0,3,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,18.15934009845864,3.0265566830764397,0,0,14,0.0,0.0,1.0,0,1,2-1,0-2,0-1,7,,W1
NE,61.637267287600196,64.73298718814729,-25.257138002197955,88.14840182069871,13.0,70.0,173.0,3.6666666666666665,5.333333333333333,6,4,2,0,0.6667,150,120,30,25.0,20.0,12,6,50.0,2,1,50.0,9,3,33.33333333333333,0,0,0.0,1,0,0.0,2,1,50.0,0,0,0,0,0,0,0,0.0,0,0.0,36.38012928540224,6.0633548809003734,0,0,17,0.5,1.0,1.0,0,0,3-0,2-2,2-0,4,,W3
JAX,1.1736736407983206,-19.206653296576214,5.783701395564218,19.001632597331433,8.0,59.0,224.0,4.166666666666666,5.0,6,4,2,0,0.6667,139,120,19,23.1667,20.0,16,4,25.0,3,3,100.0,11,1,9.090909090909092,0,0,0.0,0,0,0.0,3,1,33.33333333333333,0,0,0,0,0,0,0,0.0,0,0.0,6.957375036362539,1.159562506060423,0,0,30,0.6667,1.0,1.0,0,0,1-1,2-1,1-0,6,,L1
LAC,9.315140417997332,10.812064226724875,-0.7627508484525856,29.327996932141108,16.0,89.0,253.0,6.0,6.0,6,4,2,0,0.6667,127,125,2,21.1667,20.8333,15,6,40.0,1,1,100.0,11,5,45.45454545454545,0,0,0.0,7,2,28.57142857142857,3,2,66.66666666666666,0,0,0,0,0,0,0,0.0,0,0.0,8.552389569544747,1.4253982615907912,0,0,24,1.0,1.0,1.0,0,0,2-1,4-0,3-0,3,,W1
PHI,-2.1071368410467786,34.11185651487806,3.993609908289532,28.391021811870704,9.0,46.0,228.0,5.0,6.0,6,4,2,0,0.6667,142,143,-1,23.6667,23.8333,9,1,11.11111111111111,2,2,100.0,15,11,73.33333333333333,0,0,0.0,3,2,66.66666666666666,3,3,100.0,0,0,0,0,0,0,0,0.0,0,0.0,1.8864730672427537,0.3144121778737923,0,0,21,0.75,0.5,1.0,0,0,2-1,3-1,1-1,4,,L2
SF,30.46693573386038,12.887722718034638,-21.34940105403786,57.60011327332863,7.0,49.0,268.0,5.333333333333333,5.666666666666666,6,4,2,0,0.6667,125,128,-3,20.8333,21.3333,16,7,43.75,2,0,0.0,8,3,37.5,0,0,0.0,2,1,50.0,2,2,100.0,0,0,0,0,0,0,0,0.0,0,0.0,9.117534679822523,1.5195891133037538,0,0,25,0.8,1.0,1.0,1,0,3-1,4-1,3-0,3,,L1
MIN,-7.028246869985544,-2.9736595302402806,-10.378230264614103,30.94244509396728,13.0,87.0,213.0,4.0,4.0,5,3,2,0,0.6,123,97,26,24.6,19.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,-17.406477134599648,-3.4812954269199294,0,0,16,0.5,1.0,1.5,0,0,2-1,1-1,1-0,9,,W1
ATL,2.400196201128625,-20.127112952693206,1.0106409982724207,9.96668555565249,14.0,85.0,166.0,3.1666666666666665,4.0,5,3,2,0,0.6,100,100,0,20.0,20.0,12,5,41.66666666666667,1,0,0.0,9,2,22.22222222222222,1,0,0.0,3,1,33.33333333333333,3,2,66.66666666666666,0,0,0,0,0,0,0,0.0,0,0.0,3.410837199401046,0.6821674398802091,0,0,1,0.5,0.0,1.5,0,0,1-1,2-2,0-2,8,,W2
CHI,13.07697022835248,-27.774730351682056,-10.105897897791401,29.997495515136777,8.0,32.0,172.0,3.3,5.0,5,3,2,0,0.6,126,141,-15,25.2,28.2,10,3,30.0,1,0,0.0,8,3,37.5,1,1,100.0,3,1,33.33333333333333,1,1,100.0,0,0,0,0,0,0,0,0.0,0,0.0,2.9710723305610784,0.5942144661122157,0,0,3,0.5,0.0,1.5,0,0,2-1,2-2,0-2,10,,W3
WAS,23.38391686186871,19.62214671976414,3.8209993606812276,56.05645343306391,18.0,113.0,248.0,3.5,6.0,6,3,3,0,0.5,158,126,32,26.3333,21.0,8,3,37.5,1,1,100.0,10,3,30.0,1,0,0.0,1,1,100.0,3,1,33.33333333333333,0,0,0,0,0,0,0,0.0,0,0.0,27.204916222549937,4.5341527037583225,0,0,28,0.25,1.0,2.0,0,0,1-2,1-3,1-0,12,,L1
KC,38.95165382842286,6.396937763614453,15.659905677395797,54.95286583055241,12.0,47.0,240.0,4.0,4.25,6,3,3,0,0.5,155,124,31,25.8333,20.6667,9,4,44.44444444444444,3,2,66.66666666666666,11,5,45.45454545454545,2,0,0.0,6,4,66.66666666666666,2,1,50.0,0,0,0,0,0,0,0,0.0,0,0.0,54.61155950581866,9.10192658430311,0,0,12,0.3333,0.0,2.0,0,0,1-2,1-2,0-1,8,,W1
CAR,-12.778351894249765,10.404013774236853,12.467275937162858,27.55402389807091,5.0,36.0,236.0,5.0,5.5,6,3,3,0,0.5,132,146,-14,22.0,24.3333,8,3,37.5,1,1,100.0,12,5,41.66666666666667,2,2,100.0,4,2,50.0,4,2,50.0,0,0,0,0,0,0,0,0.0,0,0.0,-0.3110759570869064,-0.05184599284781773,0,0,29,0.6667,1.0,2.0,0,0,0-3,2-1,1-0,11,,W2
DAL,61.155239068598206,32.07276364174368,1.676164911152057,73.950211413936,10.0,88.0,255.0,6.0,4.8,6,2,3,1,0.4167,178,184,-6,29.6667,30.6667,12,5,41.66666666666667,2,2,100.0,8,3,37.5,1,1,100.0,4,2,50.0,4,2,50.0,0,0,0,0,0,0,0,0.0,0,0.0,62.83140397975026,10.471900663291711,0,0,6,0.3,0.5,2.5,1,0,1-3,1-3-1,1-1,13,,L1
HOU,14.451407700623607,15.026972036756563,3.9012221520959547,30.596906244647762,12.0,93.0,237.0,4.166666666666666,4.0,5,2,3,0,0.4,108,61,47,21.6,12.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,18.352629852719563,3.6705259705439124,0,0,34,0.6667,0.5,2.5,0,0,1-2,2-1,1-1,9,,W2
ARI,11.199553282217629,1.6952753146044595,-6.918564093435754,45.44209805774344,11.0,69.0,232.0,4.333333333333333,6.0,6,2,4,0,0.3333,130,127,3,21.6667,21.1667,14,9,64.28571428571429,1,0,0.0,8,4,50.0,0,0,0.0,6,3,50.0,4,4,100.0,0,0,0,0,0,0,0,0.0,0,0.0,4.2809891887818745,0.7134981981303125,0,0,22,0.5,0.0,3.0,0,0,1-2,2-2,0-2,14,,L4
NYG,-22.722648318109904,-4.458489734679459,-4.912121296467238,7.683802252939563,12.0,88.0,149.0,4.0,3.8,6,2,4,0,0.3333,121,144,-23,20.1667,24.0,15,11,73.33333333333333,0,0,0.0,9,1,11.11111111111111,2,2,100.0,3,3,100.0,3,2,66.66666666666666,0,0,0,0,0,0,0,0.0,0,0.0,-27.63476961457714,-4.605794935762857,0,0,19,0.25,0.3333,3.0,0,1,0-3,1-3,1-2,15,,W1
LV,-15.82964233134044,4.905671787933307,-34.75668468687421,16.852768548488616,13.0,82.0,258.0,4.833333333333333,4.0,6,2,4,0,0.3333,103,149,-46,17.1667,24.8333,13,6,46.15384615384615,1,1,100.0,13,3,23.076923076923077,2,2,100.0,4,2,50.0,2,1,50.0,0,0,0,0,0,0,0,0.0,0,0.0,-50.58632701821465,-8.431054503035774,0,0,13,0.5,0.0,3.0,0,0,1-2,2-2,0-1,11,,W1
CIN,-34.093748035021505,0.5926302268223891,-10.223352684348356,-18.029303165291612,11.0,58.0,232.0,5.333333333333333,5.0,6,2,4,0,0.3333,103,183,-80,17.1667,30.5,14,6,42.857142857142854,2,2,100.0,11,5,45.45454545454545,1,1,100.0,2,2,100.0,4,3,75.0,0,0,0,0,0,0,0,0.0,0,0.0,-44.31710071936986,-7.38618345322831,0,0,4,0.6667,1.0,3.0,0,0,1-3,2-1,1-0,10,,L4
MIA,15.174382904649848,20.736259441751436,2.1562083235056435,41.24447275218959,12.0,78.0,181.0,3.6666666666666665,5.0,6,1,5,0,0.1667,134,174,-40,22.3333,29.0,11,5,45.45454545454545,0,0,0.0,15,6,40.0,1,1,100.0,3,2,66.66666666666666,7,2,28.57142857142857,0,0,0,0,0,0,0,0.0,0,0.0,17.33059122815549,2.8884318713592485,0,0,15,0.2,0.3333,4.0,0,0,0-3,1-4,1-2,13,,L2
NO,-5.886138550284695,12.891971626745551,-6.130045026624072,7.354880807209007,12.0,64.0,224.0,4.0,6.0,6,1,5,0,0.1667,111,160,-49,18.5,26.6667,9,3,33.33333333333333,0,0,0.0,12,6,50.0,2,1,50.0,2,1,50.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,-12.016183576908766,-2.0026972628181277,0,0,18,0.25,0.0,4.0,0,0,0-2,1-3,0-0,16,,L1
